words,chars,u_words,u_chars,sentences,avg_word_length,avg_sent_length,class
35,163,2,16,3,5,12,True
23,109,1,9,2,5,12,True
30,125,1,10,2,4,15,True
16,73,1,4,2,5,8,True
6,32,0,3,2,5,3,True
52,242,3,26,3,5,17,True
42,157,3,24,2,4,21,True
53,229,4,30,4,4,13,True
46,222,1,22,2,5,23,True
23,88,2,14,2,4,12,True
28,115,1,8,2,4,14,True
21,84,1,8,2,4,11,True
24,123,0,7,2,5,12,True
31,128,2,14,2,4,16,True
21,83,2,11,2,4,11,True
29,135,1,17,1,5,29,True
29,153,1,25,1,5,29,True
50,212,3,23,3,4,17,True
58,218,3,27,3,4,19,True
46,206,2,19,2,4,23,True
48,209,1,21,3,4,16,True
40,165,1,19,1,4,40,True
20,104,2,29,1,5,20,True
36,146,1,22,1,4,36,True
30,141,1,26,3,5,10,True
3,111,0,0,1,37,3,True
35,176,1,27,2,5,18,True
2,107,0,0,1,54,2,True
59,253,1,24,2,4,30,True
44,216,1,19,2,5,22,True
29,151,1,14,2,5,15,True
40,177,1,19,3,4,13,True
54,207,1,17,4,4,14,True
70,283,6,34,2,4,35,True
2,123,0,0,1,62,2,True
2,97,0,0,1,49,2,True
29,130,1,21,1,4,29,True
2,118,0,0,1,59,2,True
11,70,1,16,1,6,11,True
30,153,2,18,1,5,30,True
3,103,0,0,1,34,3,True
47,217,1,18,5,5,9,True
46,226,1,19,2,5,23,True
42,191,1,23,4,5,11,True
40,144,1,15,4,4,10,True
37,165,2,19,1,4,37,True
2,107,0,0,1,54,2,True
59,240,1,28,3,4,20,True
24,119,1,17,1,5,24,True
2,119,0,0,1,60,2,True
31,156,1,19,2,5,16,True
3,104,0,0,1,35,3,True
23,104,1,18,1,5,23,True
2,92,0,0,1,46,2,True
22,105,3,22,1,5,22,True
42,201,1,23,2,5,21,True
50,236,1,15,2,5,25,True
52,224,3,19,3,4,17,True
53,236,1,28,2,4,27,True
2,99,0,0,1,50,2,True
2,85,0,0,1,43,2,True
42,197,1,24,2,5,21,True
25,122,2,19,2,5,13,True
14,78,2,10,1,6,14,True
17,69,1,9,2,4,9,True
40,208,1,19,2,5,20,True
47,218,2,24,3,5,16,True
34,185,2,19,2,5,17,True
54,252,2,26,2,5,27,True
33,151,3,21,1,5,33,True
40,179,1,22,1,4,40,True
15,85,1,20,1,6,15,True
23,103,1,17,1,4,23,True
37,208,1,21,1,6,37,True
36,146,3,26,1,4,36,True
