@relation post_all_vectors

@attribute like numeric
@attribute haha numeric
@attribute angry numeric
@attribute sad numeric
@attribute love numeric
@attribute wow numeric
@attribute negative numeric
@attribute neutral numeric
@attribute positive numeric
@attribute compound numeric
@attribute shares numeric
@attribute comments numeric
@attribute reactions numeric
@attribute images numeric
@attribute links numeric
@attribute nouns numeric
@attribute pronouns numeric
@attribute verbs numeric
@attribute numbers numeric
@attribute adjectives numeric
@attribute conjunctions numeric
@attribute adverbs numeric
@attribute person numeric
@attribute date numeric
@attribute org numeric
@attribute money numeric
@attribute gpe numeric
@attribute norp numeric
@attribute event numeric
@attribute words numeric
@attribute chars numeric
@attribute u_words numeric
@attribute u_chars numeric
@attribute sentences numeric
@attribute avg_word_length numeric
@attribute avg_sent_length numeric
@attribute class {True,False}

@data
26,15,0,1,2,1,0,1,0,0,2,41,46,0,2,2,3,2,0,0,0,0,0,0,0,0,1,0,0,10,76,1,17,1,8,10,True
17,6,8,6,4,2,0.162,0.541,0.297,0.3612,4,36,43,0,2,6,1,2,0,1,0,0,0,0,0,0,2,0,0,15,76,1,15,1,5,15,True
40,26,0,4,10,1,0,1,0,0,9,55,81,0,2,6,6,4,0,4,0,3,2,0,0,0,1,2,0,37,186,3,23,2,5,19,True
236,23,0,1,4,3,0.224,0.776,0,-0.3818,32,73,269,0,2,2,4,2,0,0,0,0,0,0,2,0,1,0,0,11,61,1,18,1,6,11,True
177,4,53,214,2,43,0.155,0.845,0,-0.296,8,152,506,0,2,3,3,4,0,0,0,0,0,0,0,0,2,0,0,14,89,1,16,1,6,14,True
122,6,108,41,4,24,0.139,0.861,0,-0.7964,21,31,307,0,2,13,10,4,1,7,0,0,1,0,0,0,0,0,0,54,269,1,21,2,5,27,True
335,64,10,2,16,43,0.057,0.847,0.096,0.2732,37,83,471,0,2,8,15,5,0,4,0,0,1,0,0,0,3,2,0,53,254,2,29,2,5,27,True
69,1,1,0,2,0,0,0.776,0.224,0.802,8,7,75,0,2,9,5,3,0,1,0,0,0,0,1,0,0,0,0,31,144,1,16,2,5,16,True
49,1,63,31,3,1,0.283,0.717,0,-0.93,22,137,149,0,2,7,7,6,4,3,0,0,0,0,0,0,1,0,0,45,195,2,22,2,4,23,True
526,16,7,25,13,48,0.061,0.846,0.092,0.2648,132,227,646,1,3,4,5,4,0,1,0,1,1,1,2,0,0,0,0,36,147,2,10,2,4,18,True
46,85,5,3,0,3,0,1,0,0,36,144,142,0,2,5,5,6,0,2,0,0,1,0,3,0,1,0,0,35,157,1,19,1,4,35,True
21,11,21,0,5,1,0.078,0.922,0,-0.3182,1,60,59,0,2,7,8,5,0,0,0,0,2,0,1,0,1,0,0,30,165,1,21,1,6,30,True
212,39,3,4,45,1,0,1,0,0,8,179,314,0,2,4,1,1,1,1,0,0,0,0,0,0,2,0,0,12,67,1,15,1,6,12,True
162,77,1,0,3,22,0.254,0.746,0,-0.9181,22,324,267,0,2,8,11,6,0,1,0,1,3,1,0,0,0,0,0,48,189,2,26,3,4,16,True
114,5,1,0,18,1,0,0.939,0.061,0.5023,4,37,142,0,3,11,7,6,2,4,0,3,1,2,1,0,0,0,0,61,262,2,29,3,4,20,True
1679,26,4,7,163,30,0,0.85,0.15,0.872,164,325,1912,1,4,17,7,7,3,6,0,1,2,0,1,0,2,0,0,70,300,1,11,3,4,23,True
921,18,9,209,12,86,0.067,0.879,0.054,-0.7131,63,983,1674,0,4,63,7,44,5,14,0,12,0,6,1,0,1,0,0,338,1360,15,48,19,4,18,True
311,11,6,0,61,6,0.046,0.72,0.233,0.872,32,39,405,0,2,9,7,7,1,7,0,1,2,1,3,0,0,0,0,56,260,5,30,4,5,14,True
52,0,1,0,5,0,0.097,0.717,0.186,0.6808,5,13,59,0,2,7,4,8,0,3,0,0,0,0,2,0,0,0,0,49,218,1,19,3,4,16,True
93,1,1,0,4,0,0.185,0.815,0,-0.8126,5,24,100,0,2,8,10,4,1,1,0,0,0,2,2,0,0,0,0,49,195,3,27,2,4,25,True
964,3,3,4485,156,13,0.178,0.735,0.088,-0.5859,118,179,9121,0,2,11,5,4,0,2,0,1,2,0,0,0,1,0,0,43,188,1,20,1,4,43,True
477,79,501,19,99,25,0.167,0.833,0,-0.25,30,276,1203,0,2,6,3,1,0,2,0,0,0,0,1,0,1,0,0,16,85,1,17,1,5,16,True
58,4,16,4,5,5,0,0.858,0.142,0.6486,14,95,95,0,2,9,6,3,2,4,0,1,0,1,1,0,0,0,0,43,175,1,22,4,4,11,True
54,3,58,68,6,10,0.304,0.696,0,-0.9325,24,192,209,0,2,6,6,6,4,3,0,1,0,0,0,0,2,0,0,42,186,2,22,4,4,11,True
120,44,3,3,3,2,0.29,0.661,0.05,-0.9516,11,43,179,0,3,7,6,3,0,7,0,2,1,0,1,0,0,0,0,56,268,2,24,3,5,19,True
41,2,3,37,4,3,0.198,0.756,0.045,-0.8442,10,29,94,0,2,8,11,1,1,2,0,2,0,1,0,0,3,0,0,48,210,4,25,1,4,48,True
53,0,26,1,2,3,0.341,0.619,0.04,-0.9607,3,65,85,0,2,9,8,11,2,0,0,1,0,0,0,0,2,0,0,56,230,1,24,2,4,28,True
99,1,206,253,3,9,0.097,0.903,0,-0.4767,316,584,581,0,2,9,3,6,0,3,0,1,0,0,0,0,2,0,0,34,171,3,20,1,5,34,True
16,8,0,0,0,0,0,0.796,0.204,0.3182,2,11,24,0,2,3,2,1,0,2,0,0,1,0,0,0,1,1,0,12,62,1,16,1,5,12,True
25,26,6,1,0,0,0.172,0.828,0,-0.4019,2,58,58,0,2,6,2,1,0,3,0,0,1,0,0,0,1,0,0,20,90,2,17,2,5,10,True
